,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG,Exposure,Exposure
,0,1,0,1,0,1,none,In,Out,All,0,1
0,1.0,1.0,0.15978692328802643,0.9698136234049987,1.0,0.0,0,"[('397', 10.75087750231179), ('773', 10.588705368415537), ('222', 9.78759554379826), ('304', 2.2379586179858997), ('562', 2.1510123558773744), ('432', 1.8233019898926388), ('282', 1.818710802357211), ('246', 1.8159327064488875), ('296', 1.7725777226994464), ('166', 1.7477877014107561), ('154', 1.6958336109575236), ('525', 1.6521780961199917), ('322', 1.597804013144442), ('505', 1.5090633061159209), ('127', 1.4279778135549284), ('495', 1.4166631933863925), ('606', 1.3832460270999218), ('194', 1.3302966041183566), ('953', 1.3255952554251942), ('277', 1.217662063557221), ('920', 1.184864421070421), ('935', 1.1757786708714166), ('971', 1.1699132710099551), ('237', 1.1572877487500062), ('451', 1.144539020272093), ('372', 1.0491046072266257), ('155', 1.0405400627311543), ('124', 1.0280270771321067), ('41', 1.0041290519991588), ('764', 0.9886149088549884), ('416', 0.9440457436702037), ('448', 0.9025929681318698), ('632', 0.8963484006503508), ('131', 0.8907265147875143), ('52', 0.8884856781760706), ('996', 0.8513493989795672), ('689', 0.8411394187080107), ('825', 0.837755134299922), ('805', 0.8272243412283744), ('367', 0.8124565699306396), ('885', 0.8063039736433271), ('959', 0.7807744780730521), ('391', 0.7750370071050502), ('738', 0.7635259649559067), ('962', 0.7629121000371896), ('875', 0.7495747478680975), ('761', 0.7362608772851287), ('284', 0.705202598158724), ('503', 0.6855474352458223), ('439', 0.6280322951831983)]","[('397', 8.600702001849433), ('773', 8.47096429473243), ('222', 7.830076435038608), ('304', 1.7903668943887199), ('562', 1.7208098847018996), ('432', 1.4586415919141111), ('282', 1.4549686418857688), ('246', 1.45274616515911), ('296', 1.4180621781595573), ('166', 1.398230161128605)]",1.0,0.0,0.3
1,0.0,1.0,0.14874304579616585,0.9727437900434823,1.0,0.0,0,"[('947', 9.949769125732866), ('464', 9.270854536523716), ('616', 9.01195343663106), ('904', 2.9093153936731437), ('197', 2.8556930604389303), ('212', 2.725572619920877), ('893', 2.5432000035554156), ('45', 2.452330860751806), ('238', 2.3003455472566015), ('354', 2.2155226640968304), ('25', 2.102738779316626), ('419', 2.0296247022593104), ('530', 1.9370283027566955), ('541', 1.799502725647022), ('432', 1.7500705827359868), ('352', 1.719818926158691), ('154', 1.6154756758979645), ('255', 1.551721861820654), ('380', 1.5213409941529714), ('127', 1.4328121824240045), ('143', 1.4309541889186115), ('745', 1.3914960901741726), ('558', 1.3483941930732393), ('715', 1.3402621882780263), ('953', 1.3379474555174091), ('823', 1.3354710845877806), ('170', 1.298083276865569), ('395', 1.2533895923776348), ('950', 1.2423335658220795), ('414', 1.2253774615479025), ('990', 1.2188964873337473), ('717', 1.2174072331178623), ('371', 1.2016439127778717), ('775', 1.1644424984715582), ('741', 1.145553790062116), ('217', 1.05643589011086), ('326', 1.0474107205422), ('97', 1.0407347903733457), ('763', 1.007780345424465), ('155', 0.9653416119132291), ('523', 0.9563264488481679), ('239', 0.9428438551610951), ('630', 0.9197207062453803), ('868', 0.8923569589618972), ('764', 0.8902806528257323), ('720', 0.8796262389966323), ('20', 0.8582412399398861), ('518', 0.8504335101174493), ('538', 0.8482021849112171), ('131', 0.8320730257910334)]","[('947', 7.959815300586293), ('464', 7.416683629218973), ('616', 7.209562749304848), ('904', 2.327452314938515), ('197', 2.284554448351144), ('212', 2.1804580959367015), ('893', 2.0345600028443327), ('45', 1.961864688601445), ('238', 1.8402764378052812), ('354', 1.7724181312774645)]",1.0,0.0,0.3
2,0.0,1.0,0.15159027243655765,0.9666031773437206,1.0,0.0,0,"[('814', 2.8163012171189106), ('212', 2.7952737937995815), ('45', 2.505738093576919), ('318', 2.4171564424772365), ('812', 2.1552396219482044), ('25', 2.125774251358558), ('989', 1.9858651298994467), ('154', 1.680772297717699), ('156', 1.667126200691469), ('919', 1.448020630762062), ('788', 1.4151858974675717), ('198', 1.413149894491097), ('495', 1.404813256585922), ('242', 1.3733940351678593), ('645', 1.3475425852170775), ('194', 1.3151274570471676), ('380', 1.2158225432929768), ('264', 1.2072401875816843), ('277', 1.1885089951399448), ('950', 1.1823172997485643), ('741', 1.155636326409373), ('918', 1.1424769970578805), ('371', 1.137043075538512), ('17', 1.1091854491891158), ('359', 1.103622685525826), ('136', 1.0925796464487794), ('453', 0.9965529694914682), ('362', 0.989644133429141), ('763', 0.9813631673551046), ('600', 0.9529380285997562), ('21', 0.9296590449339417), ('88', 0.9175917011003937), ('67', 0.90171809755057), ('489', 0.8989609137610188), ('131', 0.8847772998553313), ('518', 0.8510151227231814), ('978', 0.8263634401689242), ('252', 0.8087470043871559), ('507', 0.7618511519220549), ('738', 0.7297503923623149), ('29', 0.7233898123504927), ('79', 0.6929220717289721), ('511', 0.6799562345552541), ('98', 0.6747124369922795), ('634', 0.6701748791456752), ('685', 0.6389065944836235), ('945', 0.6255254368438385), ('592', 0.6110082830937084), ('276', 0.5760314667337318), ('940', 0.5254372602583257)]","[('814', 2.2530409736951285), ('212', 2.236219035039665), ('45', 2.0045904748615353), ('318', 1.9337251539817892), ('812', 1.7241916975585636), ('25', 1.7006194010868463), ('989', 1.5886921039195574), ('154', 1.3446178381741594), ('156', 1.3337009605531753), ('919', 1.1584165046096497)]",1.0,0.0,0.0
3,0.0,1.0,0.15375223581859995,0.967318232040676,1.0,0.0,0,"[('773', 10.601529303615473), ('464', 9.436603590884788), ('616', 9.194204168083065), ('197', 2.9190295002794553), ('212', 2.7584884016457627), ('45', 2.5080393950364335), ('354', 2.2587705153242656), ('812', 2.1618947544063993), ('989', 2.0573933187596354), ('296', 1.754040278178512), ('965', 1.7070645534436517), ('339', 1.7039896148359694), ('154', 1.7009208507088203), ('713', 1.6781278614287038), ('130', 1.664491596568484), ('610', 1.6535537370722326), ('955', 1.6463832144315074), ('522', 1.643766389687752), ('820', 1.6181727162205584), ('673', 1.5944256902427998), ('737', 1.552163901714268), ('526', 1.5028496948305206), ('143', 1.4736596451439596), ('198', 1.4357858078330326), ('606', 1.3548371130237848), ('645', 1.3480901875326146), ('936', 1.3364919506484167), ('171', 1.3315192813241272), ('346', 1.3035430657268265), ('555', 1.2363220103461199), ('366', 1.2260776952409937), ('741', 1.170827227385422), ('158', 1.1551121843748522), ('649', 1.0608030540496742), ('362', 1.040381941173528), ('763', 1.0044639688795054), ('219', 1.0029512473502185), ('523', 0.9855868930431032), ('41', 0.9828973450898105), ('88', 0.9679716135066977), ('575', 0.8865918775335077), ('560', 0.8810759548970888), ('448', 0.8729025039175785), ('38', 0.8673345165575909), ('805', 0.8656316382108229), ('996', 0.864353343167944), ('196', 0.8224917394544977), ('738', 0.7794250639976311), ('65', 0.7705668907534573), ('875', 0.7703381346624513)]","[('773', 8.481223442892379), ('464', 7.549282872707831), ('616', 7.355363334466452), ('197', 2.3352236002235642), ('212', 2.2067907213166102), ('45', 2.006431516029147), ('354', 1.8070164122594126), ('812', 1.7295158035251195), ('989', 1.6459146550077084), ('296', 1.4032322225428098)]",1.0,0.0,0.3
4,0.0,1.0,0.1668669367863738,0.9849039460151516,1.0,0.0,0,"[('855', 10.35097953332313), ('464', 9.732501878635697), ('238', 2.417605917404555), ('831', 2.388931260596337), ('25', 2.2077665756437197), ('751', 2.1988301325071262), ('419', 2.1252633608481624), ('938', 2.0243336355461095), ('314', 1.9655728563770296), ('296', 1.7966205756897784), ('713', 1.7618133146484296), ('889', 1.6991796496129907), ('154', 1.6940237978448247), ('279', 1.665542601993913), ('737', 1.6527012005356294), ('919', 1.6468040867860716), ('655', 1.6459880666004323), ('808', 1.5968468975005317), ('505', 1.509517926791087), ('745', 1.4445949759401513), ('62', 1.396746389551649), ('730', 1.3918902721851552), ('990', 1.2274836544105359), ('626', 1.1655501339958998), ('634', 1.1373780598138878), ('453', 1.0859002771310875), ('124', 1.029304309880814), ('219', 1.0281739055068269), ('523', 0.996245341986501), ('136', 0.9640498456601967), ('465', 0.9326838788057318), ('996', 0.9283334294121826), ('738', 0.8817558595333261), ('805', 0.8779211302608964), ('575', 0.870514461536954), ('875', 0.8478490662929737), ('444', 0.8367441817041864), ('367', 0.8302654660853257), ('507', 0.8236847997261207), ('962', 0.8075474453886742), ('29', 0.7862189875445673), ('161', 0.7792644381895429), ('391', 0.7672237080552244), ('183', 0.7562794426130677), ('685', 0.7286388088591892), ('503', 0.7115823154582351), ('43', 0.6903591339032842), ('79', 0.6785188019893476), ('567', 0.6635963655789642), ('276', 0.6594758611127338)]","[('855', 8.280783626658504), ('464', 7.786001502908558), ('238', 1.934084733923644), ('831', 1.9111450084770696), ('25', 1.7662132605149758), ('751', 1.759064106005701), ('419', 1.70021068867853), ('938', 1.6194669084368876), ('314', 1.5724582851016238), ('296', 1.4372964605518228)]",1.0,0.0,0.2
5,0.0,1.0,0.15012796891041116,0.9778595613556158,1.0,0.0,0,"[('616', 9.159806491323595), ('425', 2.385854006301461), ('34', 2.3299750070997636), ('831', 2.305826742591768), ('419', 2.078597279969721), ('728', 1.9794957787941), ('938', 1.892736085456986), ('541', 1.8208081404608445), ('432', 1.799499739683029), ('965', 1.7189422368993699), ('154', 1.6135884166850376), ('820', 1.6090249794418159), ('380', 1.6066000438370422), ('655', 1.5882409324613234), ('610', 1.5871463707574922), ('255', 1.5809379799562757), ('652', 1.560432888680116), ('526', 1.5178436047878694), ('302', 1.475144435786086), ('76', 1.4729123120541565), ('127', 1.4646177642269103), ('505', 1.4587570021981062), ('198', 1.420060361197491), ('606', 1.3544643722897403), ('170', 1.3223309744991179), ('950', 1.2391603026431128), ('920', 1.200604681854678), ('528', 1.0917739474778851), ('359', 1.0913088367996682), ('797', 1.0372234031135934), ('124', 1.0232736944305896), ('594', 1.012430872192807), ('649', 1.0054764228333029), ('691', 1.0023662800296194), ('580', 0.9860234175962109), ('155', 0.9843821036710448), ('289', 0.9698372634007553), ('260', 0.9529505542015104), ('253', 0.9526441191941437), ('489', 0.9157762024970292), ('994', 0.878749811142841), ('300', 0.8764943422598511), ('720', 0.8693847468158011), ('67', 0.8664985352848735), ('805', 0.8655550990934492), ('448', 0.8290108791257492), ('758', 0.7964983429435564), ('196', 0.793226056925649), ('401', 0.7716300058335375), ('635', 0.7373194036142585)]","[('616', 7.327845193058876), ('425', 1.9086832050411688), ('34', 1.863980005679811), ('831', 1.8446613940734142), ('419', 1.6628778239757769), ('728', 1.5835966230352803), ('938', 1.5141888683655889), ('541', 1.4566465123686756), ('432', 1.4395997917464234), ('380', 1.385280035069634)]",0.999877671998403,0.1,0.1
6,0.08333333333333333,1.0,0.15802219292913808,0.9807171347302246,1.0,0.0,0,"[('10', 11.540987442600523), ('397', 11.101350935472373), ('6', 3.0678976150994255), ('354', 2.385794660625866), ('304', 2.3641101737816332), ('25', 2.273949983474476), ('851', 2.2323985859029527), ('562', 2.227693748747338), ('989', 2.10279170591621), ('156', 1.8638256763343874), ('166', 1.8391494033617486), ('339', 1.826833885614078), ('647', 1.7382511386088226), ('737', 1.7341952296008964), ('808', 1.6270303102128656), ('919', 1.6044489427924327), ('953', 1.442437363320865), ('730', 1.4275555685992398), ('346', 1.4041594124913164), ('495', 1.3931032969026702), ('558', 1.3926109895625232), ('936', 1.3544583788053584), ('950', 1.3513008495207957), ('62', 1.2752648416536456), ('356', 1.2406062378893543), ('393', 1.2275575522499083), ('918', 1.1764591506625384), ('626', 1.1442032672662108), ('763', 1.1010743569923038), ('453', 1.0813414835184236), ('600', 1.0300866996436056), ('362', 0.9966954324561308), ('481', 0.9876716356456638), ('452', 0.9597912634660024), ('917', 0.9396227415812308), ('738', 0.8956395924050851), ('978', 0.8845379116881075), ('590', 0.8751223704241935), ('507', 0.867983528992824), ('533', 0.8528188129679819), ('689', 0.8181878704435425), ('766', 0.8082947622000698), ('962', 0.8077199837559589), ('874', 0.7892527151549655), ('65', 0.7528530854504235), ('146', 0.7104298080370424), ('583', 0.6974870702646817), ('190', 0.6924191202981211), ('945', 0.6722582600085943), ('733', 0.6035881172438287)]","[('10', 9.232789954080419), ('397', 8.881080748377899), ('6', 2.4543180920795407), ('354', 1.908635728500693), ('304', 1.8912881390253067), ('25', 1.819159986779581), ('851', 1.7859188687223622), ('562', 1.7821549989978704), ('989', 1.682233364732968), ('156', 1.49106054106751)]",1.0,0.0,0.2
7,0.07142857142857142,1.0,0.15231521386840668,0.9657715223827589,1.0,0.0,0,"[('773', 10.370420343114116), ('616', 9.058286459567189), ('318', 2.4095146306146034), ('812', 2.151720446391), ('851', 2.0965370353040607), ('989', 1.963606266730757), ('938', 1.9473756479589959), ('246', 1.7913520607711026), ('432', 1.768023127144488), ('154', 1.6640898696839244), ('525', 1.66052370474831), ('652', 1.6408970442474133), ('610', 1.6376526963938285), ('468', 1.627233846845839), ('919', 1.5273689364393754), ('255', 1.4973686530270802), ('540', 1.439609146511643), ('380', 1.4242423005115794), ('823', 1.369159608636415), ('495', 1.3573255333754126), ('990', 1.1917181072109344), ('393', 1.1863652556762079), ('430', 1.1822763013407591), ('277', 1.16943430885347), ('775', 1.1180883687798864), ('918', 1.1179705931024366), ('356', 1.0917798342478007), ('136', 1.0729962380601445), ('619', 1.0673244552134424), ('971', 1.0670693751815477), ('97', 1.0532970161272859), ('89', 1.0317523860907845), ('763', 1.0008331348232022), ('600', 0.9714527189760945), ('580', 0.96101145560336), ('267', 0.9454121070498945), ('714', 0.9132962773376959), ('630', 0.905419771844175), ('253', 0.9009144561197796), ('416', 0.8843454791845602), ('720', 0.8584148837538057), ('632', 0.8484172686775009), ('252', 0.8324774597145262), ('448', 0.8323091732324), ('978', 0.8157820549244514), ('466', 0.789558061442404), ('962', 0.7787726980196137), ('65', 0.7658692137166611), ('29', 0.7580205053147069), ('761', 0.7525886663960604)]","[('773', 8.296336274491294), ('616', 7.246629167653751), ('318', 1.9276117044916827), ('812', 1.7213763571128), ('851', 1.6772296282432486), ('989', 1.5708850133846057), ('938', 1.5579005183671968), ('246', 1.4330816486168823), ('432', 1.4144185017155904), ('154', 1.3312718957471397)]",1.0,0.0,0.2
8,0.0625,1.0,0.1584178711092732,0.9644816429439118,1.0,0.0,0,"[('397', 10.636898259667644), ('773', 10.537171528652449), ('197', 2.8977260196536703), ('354', 2.2686434145035714), ('25', 2.1802092409306746), ('812', 2.1715635409916425), ('419', 2.0647031295917744), ('246', 1.82438785727563), ('352', 1.8028147991973493), ('156', 1.7891104232618915), ('339', 1.7486483123368097), ('965', 1.7402877132371164), ('154', 1.686918011095816), ('713', 1.6826631307479496), ('737', 1.6065677472345292), ('655', 1.570758405633202), ('808', 1.5495218026914337), ('143', 1.481608985611677), ('745', 1.3836417884698458), ('645', 1.345955911321052), ('264', 1.2976714809847214), ('803', 1.2234790396171695), ('62', 1.2007939262321183), ('237', 1.1740214170495566), ('935', 1.1481906528735797), ('17', 1.1435299334656466), ('717', 1.1358283087989387), ('366', 1.1273214351124095), ('920', 1.124041162072754), ('451', 1.1191048006573976), ('453', 1.0483569851071444), ('289', 1.0214431731375626), ('795', 1.0158803271908599), ('328', 0.9985000402999962), ('362', 0.9979273364554722), ('136', 0.9915141913448449), ('267', 0.9909493336029245), ('649', 0.9608117344709018), ('219', 0.9587308050759844), ('465', 0.9384238053921964), ('151', 0.9315898160944435), ('632', 0.9059279255360262), ('67', 0.8782125002768136), ('38', 0.8571519771724061), ('300', 0.8542745568249033), ('252', 0.8116271307829015), ('205', 0.7711657351467605), ('43', 0.680936514435997), ('690', 0.6782752296050258), ('225', 0.6557807393354171)]","[('397', 8.509518607734115), ('773', 8.42973722292196), ('197', 2.318180815722936), ('354', 1.8149147316028573), ('25', 1.7441673927445398), ('812', 1.737250832793314), ('419', 1.6517625036734196), ('246', 1.459510285820504), ('352', 1.4422518393578796), ('156', 1.4312883386095132)]",1.0,0.0,0.2
